Question_ID,Question_Text,Scale_Type,Option_A,Option_B,Option_C,Option_D,Option_E,Option F,Option G,Option H,Option I,Option J,Option K,Option L
Q1,Hiện tại anh/chị đang sinh sống tại khu vực nào?,Nominal,1 - Nội thành,2 - Ngoại thành,3 - Tỉnh khác,,,,,,,,,
Q2,Thu nhập trung bình hàng tháng của anh/chị là bao nhiêu?,Ordinal,1 - Dưới 5 triệu/ tháng,2 - Từ 5 đến  10 triệu/ tháng,3 - Từ 10 đến  15 triệu/ tháng,4 - Từ 15 đến 20 triệu/ tháng,4 - Trên 20 triệu/ tháng,,,,,,,
Q3,"khi lựa chọn sản phẩm, Anh chị có quan tâm đến: Giá cả hợp túi tiền",Nominal,1 - Có,2 - Không,,,,,,,,,,
Q4,"khi lựa chọn sản phẩm, Anh chị có quan tâm đến: Chất lượng sản phẩm",Nominal,1 - Có,2 - Không,,,,,,,,,,
Q5,"khi lựa chọn sản phẩm, Anh chị có quan tâm đến: Uy tín thương hiệu lớn",Nominal,1 - Có,2 - Không,,,,,,,,,,
Q6,"khi lựa chọn sản phẩm, Anh chị có quan tâm đến: Chương trình khuyến mãi, ưu đãi",Nominal,1 - Có,2 - Không,,,,,,,,,,
Q7,"khi lựa chọn sản phẩm, Anh chị có quan tâm đến: Thiết kế bao bì đẹp, tiện lợi",Nominal,1 - Có,2 - Không,,,,,,,,,,
Q8,Tôi cảm thấy hài lòng một cách tổng thể khi sử dụng sản phẩm X.,Scale,1 - Hoàn toàn KHÔNG đồng ý,2 - KHÔNG đồng ý,3 - Bình thường,4 - Đồng ý,5 - Hoàn toàn Đồng ý,,,,,,,
Q9,Giá bán của sản phẩm X hoàn toàn phù hợp với chất lượng nhận được.,Scale,1 - Hoàn toàn KHÔNG đồng ý,2 - KHÔNG đồng ý,3 - Bình thường,4 - Đồng ý,5 - Hoàn toàn Đồng ý,,,,,,,
Q10,Chất lượng của sản phẩm X luôn ổn định và đáng tin cậy.,Scale,1 - Hoàn toàn KHÔNG đồng ý,2 - KHÔNG đồng ý,3 - Bình thường,4 - Đồng ý,5 - Hoàn toàn Đồng ý,,,,,,,
Q11,"Dịch vụ hỗ trợ, tư vấn và chăm sóc khách hàng của sản phẩm X rất tốt.",Scale,1 - Hoàn toàn KHÔNG đồng ý,2 - KHÔNG đồng ý,3 - Bình thường,4 - Đồng ý,5 - Hoàn toàn Đồng ý,,,,,,,
Q12,Các chương trình quảng cáo trên tivi/biển hiệu của sản phẩm X rất ấn tượng.,Scale,1 - Hoàn toàn KHÔNG đồng ý,2 - KHÔNG đồng ý,3 - Bình thường,4 - Đồng ý,5 - Hoàn toàn Đồng ý,,,,,,,
Q13,Các bài viết truyền thông về sản phẩm X trên mạng xã hội thu hút sự chú ý của tôi.,Scale,1 - Hoàn toàn KHÔNG đồng ý,2 - KHÔNG đồng ý,3 - Bình thường,4 - Đồng ý,5 - Hoàn toàn Đồng ý,,,,,,,
Q14,Tôi nhận được nhiều lời khen và đánh giá tích cực về sản phẩm X từ người thân/bạn bè.,Scale,1 - Hoàn toàn KHÔNG đồng ý,2 - KHÔNG đồng ý,3 - Bình thường,4 - Đồng ý,5 - Hoàn toàn Đồng ý,,,,,,,
Q15,"Các chương trình sự kiện, tài trợ hoặc hoạt động cộng đồng của hãng khiến tôi ấn tượng.",Scale,1 - Hoàn toàn KHÔNG đồng ý,2 - KHÔNG đồng ý,3 - Bình thường,4 - Đồng ý,5 - Hoàn toàn Đồng ý,,,,,,,
